"country","tested","confirmed","confirmed.tested.ratio","tested.population.ratio","confirmed.population.ratio","NA","NA","NA"
"Albania",NA,428654,NA,NA,22.6,"15.0","3.4","[2]"
"Algeria",NA,230553,NA,NA,25.4,"0.53","0.13","[3][4]"
"Andorra",NA,300307,NA,NA,12.6,"387","49.0","[5]"
"Angola",NA,399228,NA,NA,5.3,"1.3","0.067","[6]"
"Antigua and Barbuda",NA,15268,NA,832,5.4,"15.9","0.86","[7]"
"Argentina",NA,35716069,NA,NA,25.4,"78.3","20.0","[8]"
"Armenia",NA,3099602,NA,NA,13.6,"105","14.3","[9]"
"Australia",NA,78548492,NA,NA,12.9,"313","40.3","[10]"
"Austria",NA,205817752,NA,NA,2.8,"2,312","65.0","[11]"
"Azerbaijan",NA,6838458,NA,NA,11.6,"69.1","8.0","[12]"
"Bahamas",NA,259366,NA,NA,14.5,"67.3","9.7","[13]"
"Bahrain",NA,10578766,NA,NA,6.6,"674","44.4","[14]"
"Bangladesh",NA,7417714,NA,NA,15.5,"4.5","0.70","[15]"
"Barbados",NA,770100,NA,NA,13.4,"268","35.9","[16]"
"Belarus",NA,13217569,NA,NA,7.4,"139","10.4","[17]"
"Belgium",NA,36548544,NA,NA,12.8,"317","40.7","[18]"
"Belize",NA,572900,NA,NA,10.6,"140","14.9","[19][20]"
"Benin",NA,595112,NA,NA,1.3,"5.1","0.067","[21]"
"Bhutan",NA,1736168,NA,NA,0.73,"234","1.71","[22]"
"Bolivia",NA,4358669,NA,NA,20.9,"38.1","8.0","[23]"
"Bosnia and Herzegovina",NA,1872934,NA,NA,21.4,"54.7","11.7","[24]"
"Botswana",NA,2026898,NA,NA,11.5,"89.9","10.3","[25][26]"
"Brazil",NA,23561497,NA,NA,42.8,"11.2","4.8","[27][28]"
"Brunei",NA,153804,NA,338,0.22,"33.5","0.074","[29]"
"Bulgaria",NA,10993239,NA,NA,11.8,"158","18.6","[30]"
"Burkina Faso",NA,158777,NA,NA,7.6,"0.76","0.058","[3][31]"
"Burundi",NA,90019,NA,884,0.98,"0.76","0.0074","[32]"
"Cambodia",NA,1812706,NA,NA,4.3,"11.2","0.48","[33]"
"Cameroon",NA,942685,NA,NA,3.5,"3.6","0.12","[3]"
"Canada",NA,66343123,NA,NA,6.7,"175","11.7","[34]"
"Chad",NA,99027,NA,NA,4.1,"0.72","0.029","[3][35]"
"Chile",NA,48154268,NA,NA,10.6,"252","26.9","[36]"
"China[c]",NA,1.6e+08,NA,NA,0.055,"11.1","0.0061","[37][38]"
"Colombia",NA,36875818,NA,NA,17.1,"76.4","13.1","[39][40]"
"Costa Rica",NA,2575363,NA,NA,21.8,"51.5","11.2","[41]"
"Croatia",NA,5481285,NA,NA,23.1,"134","31.1","[42]"
"Cuba",NA,14301394,NA,NA,7.8,"126","9.8","[43][44]"
"Cyprus[d]",NA,27820163,NA,NA,2.3,"3,223","74.4","[45]"
"Czechia",NA,22544928,NA,NA,20.4,"211","42.9","[46]"
"Denmark[e]",NA,67682707,NA,NA,5,"1,162","58.4","[47][48]"
"Djibouti",NA,305941,NA,NA,5.1,"33.2","1.7","[49]"
"Dominica",NA,209803,NA,NA,7.1,"293","20.7","[50]"
"Dominican Republic",NA,3574665,NA,NA,17.5,"32.9","5.8","[51]"
"DR Congo",NA,124838,NA,NA,20.8,"0.14","0.029","[3][52]"
"Ecuador",NA,1627189,NA,NA,29.5,"9.5","2.8","[53]"
"Egypt",NA,3137519,NA,NA,9.1,"3.1","0.28","[3][54]"
"El Salvador",NA,1847861,NA,NA,8.7,"28.5","2.5","[55]"
"Equatorial Guinea",NA,403773,NA,NA,4.2,"30.8","1.3","[56]"
"Estonia",NA,3637908,NA,NA,16.9,"274","46.2","[57]"
"Eswatini",NA,415110,NA,NA,11.9,"36.5","4.3","[58]"
"Ethiopia",NA,2981185,NA,NA,9.3,"2.6","0.24","[59]"
"Faroe Islands",NA,774000,NA,NA,4.4,"1,493","65.7","[60]"
"Fiji",NA,667953,NA,NA,10.3,"74.5","7.7","[61]"
"Finland",NA,9042453,NA,NA,4.1,"163","6.7","[62]"
"France[f][g]",NA,272417258,NA,NA,10.7,"417","44.7","[63]"
"Gabon",NA,958807,NA,NA,2.6,"3.1","0.082","[64]"
"Gambia",NA,43217,NA,NA,10.3,"2.0","0.21","[65]"
"Georgia[h]",NA,4888787,NA,NA,15,"132","19.7","[66]"
"Germany",NA,65247345,NA,NA,5.7,"77.8","4.5","[67][68]"
"Ghana",NA,1305749,NA,NA,7.4,"4.2","0.31","[69]"
"Greece",NA,101576831,NA,NA,5.5,"943","51.5","[70]"
"Greenland",NA,164573,NA,NA,6.5,"293","19.0","[71]"
"Grenada",NA,28684,NA,161,0.56,"25.7","0.14","[72]"
"Guatemala",NA,6800560,NA,NA,18.1,"39.4","7.1","[73]"
"Guinea",NA,494898,NA,NA,5,"3.8","0.19","[3][74]"
"Guinea-Bissau",NA,145231,NA,NA,5.8,"7.7","0.45","[75]"
"Guyana",NA,648569,NA,NA,10.2,"82.5","8.4","[76]"
"Haiti",NA,223475,NA,NA,15.2,"2.0","0.30","[77]"
"Honduras",NA,1133782,NA,NA,33.3,"11.8","3.9","[78]"
"Hungary",NA,11394556,NA,NA,16.8,"118","19.8","[79]"
"Iceland",NA,1988652,NA,NA,10.2,"546","55.8","[80]"
"India",NA,866177937,NA,NA,5,"63","31.7","[81][82]"
"Indonesia",NA,76062770,NA,NA,9,"28.2","2.5",""
"Iran",NA,52269202,NA,NA,13.8,"62.8","8.7","[83]"
"Iraq",NA,19090652,NA,NA,12.8,"47.5","6.1","[84]"
"Ireland",NA,12990476,NA,NA,13.1,"264","34.6","[85]"
"Israel",NA,41373364,NA,NA,4.3,"451","19.5","[86]"
"Italy",NA,269127054,NA,NA,9.5,"446","42.5","[87]"
"Ivory Coast",NA,429177,NA,NA,7.8,"1.6","0.13","[88]"
