forecast_dt,temp
2025-10-29T12:00:00Z,13.78
2025-10-29T15:00:00Z,13.02
2025-10-29T18:00:00Z,11.74
2025-10-29T21:00:00Z,10.99
2025-10-30T00:00:00Z,12.28
2025-10-30T03:00:00Z,15.75
2025-10-30T06:00:00Z,17.32
2025-10-30T09:00:00Z,15.7
2025-10-30T12:00:00Z,14.69
2025-10-30T15:00:00Z,14.31
2025-10-30T18:00:00Z,13.89
2025-10-30T21:00:00Z,13.01
2025-10-31T00:00:00Z,14.17
2025-10-31T03:00:00Z,17.79
2025-10-31T06:00:00Z,18.79
2025-10-31T09:00:00Z,14.84
2025-10-31T12:00:00Z,13.38
2025-10-31T15:00:00Z,13.9
2025-10-31T18:00:00Z,12.97
2025-10-31T21:00:00Z,12.26
2025-11-01T00:00:00Z,12.55
2025-11-01T03:00:00Z,15.47
2025-11-01T06:00:00Z,15.67
2025-11-01T09:00:00Z,14.25
2025-11-01T12:00:00Z,12.93
2025-11-01T15:00:00Z,11.23
2025-11-01T18:00:00Z,9.09
2025-11-01T21:00:00Z,6.89
2025-11-02T00:00:00Z,6.34
2025-11-02T03:00:00Z,8.52
2025-11-02T06:00:00Z,9.61
2025-11-02T09:00:00Z,7.96
2025-11-02T12:00:00Z,6.96
2025-11-02T15:00:00Z,5.88
2025-11-02T18:00:00Z,5.27
2025-11-02T21:00:00Z,5.17
2025-11-03T00:00:00Z,6.35
2025-11-03T03:00:00Z,10.12
2025-11-03T06:00:00Z,11.9
2025-11-03T09:00:00Z,11.18
